project_id,surface_a,surface_b,field,pipeline_verdict,hand_verdict,agree,issue_class,note,checked
martini,cff,doi_record,authors,minor,minor,1,,,08/15/26
martini,doi_record,readme,authors,minor,minor,1,,,08/15/26
neon-utilities-python,cff,doi_record,title,exact,exact,1,,,08/15/26
agni,cff,doi_record,authors,conflict,conflict,1,,cff and doi_record points to Journal paper,8/14/26
agni,codemeta,doi_record,authors,conflict,conflict,1,,cff and doi_record points to Journal paper,8/14/26
agni,zenodo_json,doi_record,authors,conflict,conflict,1,,cff and doi_record points to Journal paper,8/14/26
agni,cff,doi_record,title,conflict,conflict,1,,cff and doi_record points to Journal paper,8/14/26
agni,zenodo_json,doi_record,title,conflict,conflict,1,,cff and doi_record points to Journal paper,8/14/26
agni,cff,codemeta,year,minor,minor,1,,cff and doi_record points to Journal paper,8/14/26
agni,codemeta,doi_record,year,minor,minor,1,,cff and doi_record points to Journal paper,8/14/26
agni,codemeta,zenodo_json,version,exact,exact,1,,,8/15/26
amrex,zenodo_json,readme,authors,conflict,conflict,1,,readme's preferred caitaiton point to journal and journal author,8/14/26
amrex,doi_record,readme,authors,conflict,conflict,1,,readme's preferred caitaiton point to journal and journal author,8/14/26
amrex,doi_record,readme,doi,conflict,conflict,1,,readme's preferred caitaiton point to journal and journal doi,8/14/26
amrex,doi_record,readme,title,conflict,conflict,1,,readme's preferred caitaiton point to journal and journal title,8/14/26
amrex,doi_record,readme,year,conflict,conflict,1,,readme's preferred caitaiton point to journal and journal year,8/14/26
bibat,doi_record,pypi,license,conflict,conflict,1,,,8/15/26
bibat,doi_record,readme,title,conflict,conflict,1,,,8/15/26
bibat,doi_record,pypi,title,conflict,conflict,1,,,8/15/26
bibat,readme,pypi,title,conflict,conflict,1,,,8/15/26
bibat,doi_record,pypi,version,conflict,conflict,1,,,8/15/26
biopsykit,cff,doi_record,authors,conflict,conflict,1,,cff has preferred cation to a Journal,8/14/26
biopsykit,cff,doi_record,title,conflict,conflict,1,,cff has preferred cation to a Journal,8/14/26
biopsykit,doi_record,pypi,title,conflict,conflict,1,,,8/14/26
biopsykit,cff,cff_preferred,doi,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
biopsykit,cff,cff_preferred,title,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
catalyst,cff,readme,doi,conflict,conflict,1,,"readme point to a Journal in bibtex, which is also the preferred citation in cff",8/14/26
catalyst,doi_record,readme,doi,conflict,conflict,1,,"readme point to a Journal in bibtex, which is also the preferred citation in cff",8/14/26
catalyst,cff,cff_preferred,doi,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
cblearn,doi_record,readme,doi,exact,exact,1,,,8/15/26
cheminformant,cff,zenodo_json,title,conflict,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,cff,doi_record,title,conflict,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,cff,readme,title,conflict,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,zenodo_json,pypi,title,conflict,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,doi_record,pypi,title,conflict,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,readme,pypi,title,conflict,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,cff,doi_record,year,minor,minor,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,cff,readme,year,minor,minor,1,,readme's preferred caitaiton point to journal,8/15/26
cheminformant,cff,doi_record,authors,exact,exact,1,,same but both point to article,8/15/26
cheminformant,zenodo_json,readme,authors,exact,exact,1,,same but both point to article,8/15/26
cheminformant,doi_record,readme,doi,exact,exact,1,,same but both point to article,8/15/26
cheminformant,zenodo_json,doi_record,title,exact,exact,1,,same but zenodo points to softare while doi_record points to article,8/15/26
cheminformant,cff,pypi,version,exact,exact,1,,,8/15/26
cheminformant,doi_record,readme,year,exact,exact,1,,same but both point to article,8/15/26
cirq,cff,pypi,authors,conflict,minor,0,wrong-threshold,"Cirq Developers' vs 'The Cirq Developers', same entity; fuzzy fell below 90",8/14/26
cirq,doi_record,pypi,authors,conflict,minor,0,wrong-threshold,"Cirq Developers' vs 'The Cirq Developers', same entity; fuzzy fell below 90",8/14/26
cirq,cff,doi_record,doi,conflict,conflict,1,,cff doi is for archive of all versions. Doi_crecords for current version,8/14/26
cirq,cff,doi_record,version,minor,minor,1,,only doi has 'v',8/14/26
cirq,doi_record,pypi,version,minor,minor,1,,only doi has 'v',8/14/26
covalent,doi_record,pypi,authors,conflict,conflict,1,,,8/14/26
covalent,doi_record,pypi,license,conflict,conflict,1,,,8/14/26
covalent,doi_record,pypi,title,conflict,conflict,1,,,8/14/26
covalent,doi_record,pypi,version,conflict,conflict,1,,,8/14/26
cuda-quantum,cff,pypi,authors,conflict,conflict,1,,"""The CUDA-Q development team"" for doi and cff while ""NVIDIA Corporation & Affiliates"" for pypi",8/14/26
cuda-quantum,doi_record,pypi,authors,conflict,conflict,1,,"""The CUDA-Q development team"" for doi and cff while ""NVIDIA Corporation & Affiliates"" for pypi",8/14/26
cuda-quantum,cff,pypi,title,conflict,conflict,1,,,8/14/26
cuda-quantum,doi_record,pypi,title,conflict,conflict,1,,,8/14/26
cuda-quantum,doi_record,pypi,version,conflict,conflict,1,,,8/14/26
dace,cff,readme,authors,conflict,conflict,1,,"both cff's preferred ciation and readme's bibtex are pointing to authors of the conference paper, while cff also has software info",8/14/26
dace,cff,pypi,authors,conflict,conflict,1,,"pypi points to the team ""SPCL @ ETH Zurich"" while cff points to the conference journal author",8/14/26
dace,readme,pypi,authors,conflict,conflict,1,,readme prefered citation is for conference paper while pypi has team name as author,8/14/26
dace,cff,readme,title,conflict,exact,1,,"both cff's preferred ciation and readme's bibtex are pointing to a conference paper, while cff also has software info",8/14/26
dace,cff,pypi,title,conflict,conflict,1,,cff points to conference paper while pypi point to software (github),8/14/26
dace,readme,pypi,title,conflict,conflict,1,,readme prefered citation is for conference paper while pypi has team name as author,8/14/26
dace,cff,cff_preferred,authors,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
dace,cff,cff_preferred,title,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
dair,doi_record,readme,authors,exact,exact,1,,same but both point to article,8/15/26
dair,doi_record,readme,year,exact,exact,1,,same but both point to article,8/15/26
dart,cff,doi_record,authors,conflict,conflict,1,,cff has preferred ciatation to a Journal.,8/14/26
dart,doi_record,readme,authors,conflict,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
dart,cff,readme,doi,conflict,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
dart,doi_record,readme,doi,conflict,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
dart,cff,doi_record,title,conflict,conflict,1,,cff has preferred ciatation to a Journal.,8/14/26
dart,doi_record,readme,title,conflict,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
dart,cff,doi_record,version,minor,minor,1,,cff has preferred ciatation to a Journal.,8/14/26
dart,cff,readme,year,conflict,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
dart,doi_record,readme,year,conflict,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
dart,cff,doi_record,doi,exact,exact,1,,same but cff's preferred citation points to the article,8/15/26
dart,cff,cff_preferred,doi,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
dart,cff,cff_preferred,year,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
dealii,cff,cff_preferred,authors,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
dealii,cff,cff_preferred,title,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
debyecalculator,cff,pypi,authors,conflict,conflict,1,,cff has preferred cation to a Journal,8/14/26
debyecalculator,doi_record,pypi,authors,conflict,conflict,1,,cff has preferred cation to a Journal,8/14/26
debyecalculator,cff,pypi,title,conflict,conflict,1,,cff has preferred cation to a Journal,8/14/26
debyecalculator,doi_record,pypi,title,conflict,conflict,1,,cff has preferred cation to a Journal,8/14/26
debyecalculator,doi_record,pypi,version,conflict,conflict,1,,,8/14/26
debyecalculator,cff,cff_preferred,doi,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
earthpy,zenodo_json,doi_record,authors,conflict,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
earthpy,zenodo_json,readme,authors,conflict,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
earthpy,zenodo_json,pypi,authors,conflict,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
earthpy,doi_record,pypi,authors,conflict,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
earthpy,readme,pypi,authors,conflict,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
earthpy,doi_record,pypi,title,conflict,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
earthpy,readme,pypi,title,conflict,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
earthpy,doi_record,readme,doi,exact,exact,1,,,8/15/26
elmerfem,cff,doi_record,authors,conflict,conflict,1,,,8/14/26
elmerfem,cff,doi_record,license,conflict,conflict,1,,,8/14/26
elmerfem,cff,doi_record,title,conflict,conflict,1,,,8/14/26
envpool,readme,pypi,authors,conflict,conflict,1,,"pypi only has """"EnvPool Contributors""",8/14/26
envpool,readme,pypi,title,conflict,conflict,1,,,8/14/26
eomaps,readme,pypi,title,conflict,conflict,1,,,8/15/26
felupe,cff,doi_record,authors,conflict,conflict,1,,cff's preferred citaion points to a article,8/15/26
felupe,doi_record,pypi,license,conflict,conflict,1,,,8/15/26
