judgment_id,status,scope,project_id,field,pipeline_verdict,values,covered_pairs,n_rows,hand_verdict,agree,issue_class,note,checked
K125,NEW,comp,martini,authors,minor,name variants; n=1,cff~doi_record;doi_record~readme,2,minor,1,,,
K275,NEW,exact,neon-utilities-python,title,exact,(exact: open data/normalized/neon-utilities-python.json),cff~doi_record,1,exact,1,,,
K121,carried,comp,agni,authors,conflict,|A|=1 |B|=3 matchedA=1 matchedB=1,cff~doi_record;codemeta~doi_record;zenodo_json~doi_record,3,conflict,1,,cff and doi_record points to Journal paper,8/14/26
K120,carried,comp,agni,title,conflict,fuzzy=58 | 'AGNI: An open-source model for extreme atmospheres on rocky exoplanets' vs 'AGNI: A radiative-convective model for lava planet atmospheres',cff~doi_record;zenodo_json~doi_record,2,conflict,1,,cff and doi_record points to Journal paper,8/14/26
K119,carried,comp,agni,year,minor,2025 vs 2024 (staleness?),cff~codemeta,1,minor,1,,cff and doi_record points to Journal paper,8/14/26
K122,carried,comp,agni,year,minor,2024 vs 2025 (staleness?),codemeta~doi_record,1,minor,1,,cff and doi_record points to Journal paper,8/14/26
K248,carried,exact,agni,version,exact,(exact: open data/normalized/agni.json),codemeta~zenodo_json,1,exact,1,,,8/15/26
K025,carried,comp,amrex,authors,conflict,|A|=19 |B|=17 matchedA=14 matchedB=14,zenodo_json~readme;doi_record~readme,2,conflict,1,,readme's preferred caitaiton point to journal and journal author,8/14/26
K028,carried,comp,amrex,doi,conflict,10.5281/zenodo.21763562 vs 10.21105/joss.01370,doi_record~readme,1,conflict,1,,readme's preferred caitaiton point to journal and journal doi,8/14/26
K026,carried,comp,amrex,title,conflict,fuzzy=39 | 'AMReX-Codes/amrex: AMReX 26.08' vs 'AMReX: a framework for block-structured adaptive mesh refinement',doi_record~readme,1,conflict,1,,readme's preferred caitaiton point to journal and journal title,8/14/26
K027,carried,comp,amrex,year,conflict,2026 vs 2019,doi_record~readme,1,conflict,1,,readme's preferred caitaiton point to journal and journal year,8/14/26
K188,carried,comp,bibat,license,conflict,'Open Access' vs 'GNU General Public License version 3',doi_record~pypi,1,conflict,1,,,8/15/26
K185,carried,comp,bibat,title,conflict,fuzzy=29 | 'teddygroves/bibat: v0.1.2' vs 'Bibat: batteries-included Bayesian analysis template',doi_record~readme,1,conflict,1,,,8/15/26
K186,carried,comp,bibat,title,conflict,fuzzy=34 | 'teddygroves/bibat: v0.1.2' vs 'bibat',doi_record~pypi,1,conflict,1,,,8/15/26
K189,carried,comp,bibat,title,conflict,fuzzy=18 | 'Bibat: batteries-included Bayesian analysis template' vs 'bibat',readme~pypi,1,conflict,1,,,8/15/26
K187,carried,comp,bibat,version,conflict,'v0.1.2' vs '0.3.4',doi_record~pypi,1,conflict,1,,,8/15/26
K109,carried,comp,biopsykit,authors,conflict,|A|=5 |B|=5 matchedA=4 matchedB=4,cff~doi_record,1,conflict,1,,cff has preferred cation to a Journal,8/14/26
K108,carried,comp,biopsykit,title,conflict,fuzzy=23 | 'BioPsyKit' vs 'BioPsyKit: A Python package for the analysis of biopsychological data',cff~doi_record,1,conflict,1,,cff has preferred cation to a Journal,8/14/26
K110,carried,comp,biopsykit,title,conflict,fuzzy=23 | 'BioPsyKit: A Python package for the analysis of biopsychological data' vs 'biopsykit',doi_record~pypi,1,conflict,1,,,8/14/26
K227,carried,intra,biopsykit,doi,conflict,10.17605/osf.io/ebdrt vs 10.21105/joss.03702,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K226,carried,intra,biopsykit,title,conflict,fuzzy=23 | 'BioPsyKit' vs 'BioPsyKit: A Python package for the analysis of biopsychological data',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K097,carried,comp,catalyst,doi,conflict,10.5281/zenodo.12696447 vs 10.21105/joss.06720,cff~readme;doi_record~readme,2,conflict,1,,"readme point to a Journal in bibtex, which is also the preferred citation in cff",8/14/26
K223,carried,intra,catalyst,doi,conflict,10.5281/zenodo.12696447 vs 10.21105/joss.06720,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K259,carried,exact,cblearn,doi,exact,(exact: open data/normalized/cblearn.json),doi_record~readme,1,exact,1,,,8/15/26
K128,carried,comp,cheminformant,title,conflict,fuzzy=25 | 'ChemInformant' vs 'ChemInformant: A Robust and Workflow-Centric Python Client for High-Throughput PubChem Access',cff~zenodo_json;cff~doi_record;cff~readme,3,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
K130,carried,comp,cheminformant,title,conflict,fuzzy=25 | 'ChemInformant: A Robust and Workflow-Centric Python Client for High-Throughput PubChem Access' vs 'ChemInformant',zenodo_json~pypi;doi_record~pypi;readme~pypi,3,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
K129,carried,comp,cheminformant,year,minor,2026 vs 2025 (staleness?),cff~doi_record;cff~readme,2,minor,1,,readme's preferred caitaiton point to journal,8/15/26
K258,carried,exact,cheminformant,authors,exact,n=1,cff~doi_record;zenodo_json~readme,2,exact,1,,same but both point to article,8/15/26
K260,carried,exact,cheminformant,doi,exact,(exact: open data/normalized/cheminformant.json),doi_record~readme,1,exact,1,,same but both point to article,8/15/26
K267,carried,exact,cheminformant,title,exact,(exact: open data/normalized/cheminformant.json),zenodo_json~doi_record,1,exact,1,,same but zenodo points to softare while doi_record points to article,8/15/26
K261,carried,exact,cheminformant,version,exact,(exact: open data/normalized/cheminformant.json),cff~pypi,1,exact,1,,,8/15/26
K272,carried,exact,cheminformant,year,exact,(exact: open data/normalized/cheminformant.json),doi_record~readme,1,exact,1,,same but both point to article,8/15/26
K040,carried,comp,cirq,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~pypi;doi_record~pypi,2,minor,0,wrong-threshold,"Cirq Developers' vs 'The Cirq Developers', same entity; fuzzy fell below 90",8/14/26
K039,carried,comp,cirq,doi,conflict,"10.5281/zenodo.4062499 vs 10.5281/zenodo.21080138 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,cff doi is for archive of all versions. Doi_crecords for current version,8/14/26
K038,carried,comp,cirq,version,minor,v-prefix only,cff~doi_record;doi_record~pypi,2,minor,1,,only doi has 'v',8/14/26
K070,carried,comp,covalent,authors,conflict,|A|=28 |B|=1 matchedA=0 matchedB=0,doi_record~pypi,1,conflict,1,,,8/14/26
K072,carried,comp,covalent,license,conflict,'Open Access' vs 'Apache License 2.0',doi_record~pypi,1,conflict,1,,,8/14/26
K069,carried,comp,covalent,title,conflict,fuzzy=39 | 'AgnostiqHQ/covalent: v0.228.0-rc.0' vs 'covalent',doi_record~pypi,1,conflict,1,,,8/14/26
K071,carried,comp,covalent,version,conflict,'v0.228.0-rc.0' vs '0.240.0',doi_record~pypi,1,conflict,1,,,8/14/26
K058,carried,comp,cuda-quantum,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~pypi;doi_record~pypi,2,conflict,1,," ""The CUDA-Q development team"" for doi and cff while ""NVIDIA Corporation & Affiliates"" for pypi",8/14/26
K057,carried,comp,cuda-quantum,title,conflict,fuzzy=67 | 'CUDA-Q' vs 'cuda-quantum',cff~pypi;doi_record~pypi,2,conflict,1,,,8/14/26
K059,carried,comp,cuda-quantum,version,conflict,'0.15.0' vs '0.15.1',doi_record~pypi,1,conflict,1,,,8/14/26
K031,carried,comp,dace,authors,conflict,|A|=28 |B|=5 matchedA=5 matchedB=5,cff~readme,1,conflict,1,,"both cff's preferred ciation and readme's bibtex are pointing to authors of the conference paper, while cff also has software info",8/14/26
K033,carried,comp,dace,authors,conflict,|A|=28 |B|=1 matchedA=0 matchedB=0,cff~pypi,1,conflict,1,,"pypi points to the team ""SPCL @ ETH Zurich"" while cff points to the conference journal author",8/14/26
K035,carried,comp,dace,authors,conflict,|A|=5 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme prefered citation is for conference paper while pypi has team name as author,8/14/26
K030,carried,comp,dace,title,conflict,fuzzy=35 | 'DaCe - Data Centric Parallel Programming' vs 'Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures',cff~readme,1,exact,1,,"both cff's preferred ciation and readme's bibtex are pointing to a conference paper, while cff also has software info",8/14/26
K032,carried,comp,dace,title,conflict,fuzzy=19 | 'DaCe - Data Centric Parallel Programming' vs 'dace',cff~pypi,1,conflict,1,,cff points to conference paper while pypi point to software (github),8/14/26
K034,carried,comp,dace,title,conflict,fuzzy=7 | 'Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures' vs 'dace',readme~pypi,1,conflict,1,,readme prefered citation is for conference paper while pypi has team name as author,8/14/26
K210,carried,intra,dace,authors,conflict,|A|=28 |B|=5 matchedA=5 matchedB=5,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K209,carried,intra,dace,title,conflict,fuzzy=35 | 'DaCe - Data Centric Parallel Programming' vs 'Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K262,carried,exact,dair,authors,exact,n=1,doi_record~readme,1,exact,1,,same but both point to article,8/15/26
K254,carried,exact,dair,year,exact,(exact: open data/normalized/dair.json),doi_record~readme,1,exact,1,,same but both point to article,8/15/26
K100,carried,comp,dart,authors,conflict,|A|=9 |B|=30 matchedA=3 matchedB=4,cff~doi_record,1,conflict,1,,cff has preferred ciatation to a Journal.,8/14/26
K105,carried,comp,dart,authors,conflict,|A|=30 |B|=9 matchedA=4 matchedB=3,doi_record~readme,1,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
K103,carried,comp,dart,doi,conflict,10.5281/zenodo.7542588 vs 10.21105/joss.00500,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
K099,carried,comp,dart,title,conflict,fuzzy=45 | 'DART: Dynamic Animation and Robotics Toolkit' vs 'dartsim/dart: DART 6.13.0',cff~doi_record,1,conflict,1,,cff has preferred ciatation to a Journal.,8/14/26
K104,carried,comp,dart,title,conflict,fuzzy=45 | 'dartsim/dart: DART 6.13.0' vs 'DART: Dynamic Animation and Robotics Toolkit',doi_record~readme,1,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
K101,carried,comp,dart,version,minor,v-prefix only,cff~doi_record,1,minor,1,,cff has preferred ciatation to a Journal.,8/14/26
K102,carried,comp,dart,year,conflict,2023 vs 2018,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
