judgment_id,scope,project_id,field,pipeline_verdict,values,covered_pairs,n_rows,hand_verdict,agree,issue_class,note,checked
J001,comp,horovod,title,conflict,fuzzy=21 | 'Horovod: fast and easy distributed deep learning in TensorFlow' vs 'horovod',readme~pypi,1,conflict,1,,,8/14/26
J002,comp,horovod,authors,conflict,|A|=2 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,"pypi only has ""The Horovod Authors""",8/14/26
J003,comp,mfem,title,conflict,fuzzy=89 | 'MFEM: Modular Finite Element Methods [Software]' vs 'Modular Finite Element Methods (MFEM)',cff~doi_record,1,conflict,1,,,8/14/26
J004,comp,mfem,authors,conflict,|A|=1 |B|=2 matchedA=0 matchedB=0,cff~doi_record,1,conflict,1,,,8/14/26
J005,comp,elmerfem,title,conflict,fuzzy=46 | 'ElmerFEM' vs 'ElmerCSC/elmerfem: Elmer 9.0',cff~doi_record,1,conflict,1,,,8/14/26
J006,comp,elmerfem,authors,conflict,|A|=25 |B|=20 matchedA=17 matchedB=17,cff~doi_record,1,conflict,1,,,8/14/26
J007,comp,elmerfem,license,conflict,'GPL-2.0-or-later' vs 'gpl-2.0+',cff~doi_record,1,conflict,1,,,8/14/26
J008,comp,envpool,title,conflict,fuzzy=17 | 'EnvPool: A Highly Parallel Reinforcement Learning Environment Execution Engine' vs 'envpool',readme~pypi,1,conflict,1,,,8/14/26
J009,comp,envpool,authors,conflict,|A|=12 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,"pypi only has """"EnvPool Contributors""",8/14/26
J010,comp,kernel,authors,conflict,|A|=11 |B|=11 matchedA=10 matchedB=10,cff~doi_record,1,conflict,1,,"doi has an extra ""{
        ""name"": ""The Hermit Project Developers"",
        ""given"": null,
        ""family"": ""The Hermit Project Developers"",
        ""orcid"": null
      }"" entry, while cff has the corresponding ""{
          ""name"": ""The Hermit Project Developers""
        }"" entry. But cff has a journal as preferred citation, which onlhy includes two authors  ",8/14/26
J011,comp,kernel,version,conflict,'0.10.0' vs 'v0.13.2',cff~doi_record,1,conflict,1,,,8/14/26
J012,comp,kernel,year,minor,2025 vs 2026 (staleness?),cff~doi_record,1,minor,1,,,8/14/26
J013,comp,kernel,doi,conflict,"10.5281/zenodo.14645534 vs 10.5281/zenodo.18999584 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,"cff include concept DOI and viersioned DOI, while doi_record 's doi is in datacite registray ",8/14/26
J014,comp,trilinos,title,conflict,fuzzy=17 | 'Trilinos' vs 'Trilinos: Enabling Scientific Computing across Diverse Hardware Architectures at Scale',cff~doi_record;cff~readme,2,conflict,1,,"cff 's title and doi belongs to the journal at  'preferred-citatin' section, whie reame bibtex also pint to the journal",8/14/26
J015,comp,trilinos,authors,minor,name variants; n=33,doi_record~readme,1,minor,1,,"both doi and readme point to the journal instead of the softare itself, as well as cff",8/14/26
J016,comp,targets,title,conflict,fuzzy=39 | 'targets: Dynamic Function-Oriented 'Make'-Like Declarative Pipelines' vs 'ropensci/targets: tar_igraph()',codemeta~doi_record,1,conflict,1,,,8/14/26
J017,comp,targets,authors,conflict,|A|=1 |B|=24 matchedA=0 matchedB=0,codemeta~doi_record,1,conflict,1,,,8/14/26
J018,comp,targets,version,conflict,'1.11.1' vs '1.12.0',codemeta~doi_record,1,conflict,1,,,8/14/26
J019,comp,targets,doi,conflict,targets vs 10.5281/zenodo.18555866,codemeta~doi_record,1,conflict,1,,,8/14/26
J020,comp,targets,license,conflict,'MIT' vs 'cc-by-4.0',codemeta~doi_record,1,conflict,1,,,8/14/26
J021,comp,openmc,title,conflict,fuzzy=16 | 'OpenMC' vs 'OpenMC: A state-of-the-art Monte Carlo code for research and development',cff~doi_record,1,conflict,0,,both cff and doi are pointing to the journal instead of software,8/14/26
J022,comp,openmc,authors,conflict,|A|=11 |B|=6 matchedA=3 matchedB=3,cff~doi_record,1,conflict,1,,,8/14/26
J023,comp,hdf5,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~doi_record,1,conflict,0,,"""The HDF Group"" for both cff and doi",8/14/26
J024,comp,hdf5,doi,conflict,"10.5281/zenodo.17808614 vs 10.5281/zenodo.21716856 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,cff'sv doi for all versions while doi record's one for v2.2.0 in datacite,8/14/26
J025,comp,mpi4py,title,conflict,fuzzy=50 | 'MPI for Python' vs 'mpi4py',cff~pypi;doi_record~pypi,2,conflict,1,,"doi and record has same name whiel pypi has a different name, but cff asked to use preferred citation, which is a journal",8/14/26
J026,comp,mpi4py,authors,conflict,|A|=3 |B|=1 matchedA=1 matchedB=1,cff~pypi;doi_record~pypi,2,conflict,1,,cff used preferred citation to a Journal,8/14/26
J027,comp,amrex,authors,conflict,|A|=19 |B|=19 matchedA=18 matchedB=18,zenodo_json~doi_record,1,exact,0,,"both have a list of authors and ""the AMReX Development Team"" as a distinct entry",8/14/26
J028,comp,amrex,authors,conflict,|A|=19 |B|=17 matchedA=14 matchedB=14,zenodo_json~readme;doi_record~readme,2,conflict,1,,readme's preferred caitaiton point to journal and journal author,8/14/26
J029,comp,amrex,title,conflict,fuzzy=39 | 'AMReX-Codes/amrex: AMReX 26.08' vs 'AMReX: a framework for block-structured adaptive mesh refinement',doi_record~readme,1,conflict,1,,readme's preferred caitaiton point to journal and journal title,8/14/26
J030,comp,amrex,year,conflict,2026 vs 2019,doi_record~readme,1,conflict,1,,readme's preferred caitaiton point to journal and journal year,8/14/26
J031,comp,amrex,doi,conflict,10.5281/zenodo.21763562 vs 10.21105/joss.01370,doi_record~readme,1,conflict,1,,readme's preferred caitaiton point to journal and journal doi,8/14/26
J032,comp,mpich,authors,conflict,|A|=9 |B|=1 matchedA=0 matchedB=0,doi_record~pypi;readme~pypi,2,conflict,1,,"pypi used ""MPICH Team"" only while readme's bibtex point to Jounal",8/14/26
J033,comp,dace,title,conflict,fuzzy=35 | 'DaCe - Data Centric Parallel Programming' vs 'Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures',cff~readme,1,exact,0,,cff ask for preferred citation of conference paper and readme's bibtex also point to this paper,8/14/26
J034,comp,dace,authors,conflict,|A|=28 |B|=5 matchedA=5 matchedB=5,cff~readme,1,conflict,0,,both are pointing to authors of the conference paper,8/14/26
J035,comp,dace,title,conflict,fuzzy=19 | 'DaCe - Data Centric Parallel Programming' vs 'dace',cff~pypi,1,conflict,1,,cff points to conference paper while pypi point to software (github),8/14/26
J036,comp,dace,authors,conflict,|A|=28 |B|=1 matchedA=0 matchedB=0,cff~pypi,1,conflict,1,,"pypi points to the team ""SPCL @ ETH Zurich"" while cff points to the conference journal author",8/14/26
J037,comp,dace,title,conflict,fuzzy=7 | 'Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures' vs 'dace',readme~pypi,1,conflict,1,,readme prefered citation is for conference paper while pypi has team name as author,8/14/26
J038,comp,dace,authors,conflict,|A|=5 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme prefered citation is for conference paper while pypi has team name as author,8/14/26
J039,comp,qiskit,title,conflict,fuzzy=38 | 'Qiskit/qiskit: Qiskit  2.5.1' vs 'qiskit',doi_record~pypi,1,conflict,1,,,8/14/26
J040,comp,qiskit,version,conflict,'2.5.1' vs '2.5.2',doi_record~pypi,1,conflict,1,,,8/14/26
